           flux         loglam           ivar
              E              E              E
                                             
   6.832756E+00   3.580800E+00   4.956106E-02
   8.614032E+00   3.580900E+00   5.173831E-02
   1.306285E+01   3.581000E+00   4.903728E-02
   1.158194E+01   3.581100E+00   4.755164E-02
   1.196619E+01   3.581200E+00   4.830619E-02
   1.157312E+01   3.581300E+00   4.752029E-02
   8.706784E+00   3.581400E+00   4.946323E-02
   1.356239E+01   3.581500E+00   4.819071E-02
   1.983848E+01   3.581600E+00   4.591200E-02
   4.890016E+00   3.581700E+00   5.219253E-02
   9.242167E+00   3.581800E+00   5.356282E-02
   2.672153E+01   3.581900E+00   4.660943E-02
   1.796594E+01   3.582000E+00   5.319662E-02
   1.022930E+01   3.582100E+00   5.668419E-02
   1.327540E+01   3.582200E+00   5.613473E-02
   1.117461E+01   3.582300E+00   5.535777E-02
   9.815890E+00   3.582400E+00   5.607595E-02
   1.561482E+01   3.582500E+00   5.558384E-02
   1.588907E+01   3.582600E+00   5.749813E-02
   1.951008E+01   3.582700E+00   5.567827E-02
   1.186894E+01   3.582800E+00   6.218733E-02
   6.147354E+00   3.582900E+00   6.031938E-02
   1.667752E+01   3.583000E+00   5.524101E-02
   8.555400E+00   3.583100E+00   5.744046E-02
   1.099796E+01   3.583200E+00   5.581867E-02
   1.240511E+01   3.583300E+00   5.150155E-02
   1.136532E+01   3.583400E+00   5.217033E-02
   1.993086E+01   3.583500E+00   5.123729E-02
   1.531715E+01   3.583600E+00   5.709537E-02
   1.280635E+01   3.583700E+00   6.191009E-02
   1.632860E+01   3.583800E+00   6.067151E-02
   1.338001E+01   3.583900E+00   6.277536E-02
   1.246683E+01   3.584000E+00   6.078503E-02
   1.473708E+01   3.584100E+00   5.793439E-02
   1.624226E+01   3.584200E+00   5.698961E-02
   1.589657E+01   3.584300E+00   5.789301E-02
   1.804885E+01   3.584400E+00   5.973443E-02
   2.188987E+01   3.584500E+00   5.776777E-02
   1.697354E+01   3.584600E+00   6.297864E-02
   7.604048E+00   3.584700E+00   6.815760E-02
   1.479666E+01   3.584800E+00   6.455177E-02
   1.641523E+01   3.584900E+00   6.430504E-02
   1.822158E+01   3.585000E+00   6.718294E-02
   1.530676E+01   3.585100E+00   6.942449E-02
   1.013229E+01   3.585200E+00   7.404494E-02
   9.168585E+00   3.585300E+00   7.555853E-02
   1.425664E+01   3.585400E+00   7.311291E-02
   1.962510E+01   3.585500E+00   7.005380E-02
   1.991113E+01   3.585600E+00   6.895891E-02
   1.994321E+01   3.585700E+00   7.117875E-02
   1.662649E+01   3.585800E+00   7.623257E-02
   1.768765E+01   3.585900E+00   7.668434E-02
   1.799443E+01   3.586000E+00   7.731187E-02
   1.588181E+01   3.586100E+00   8.034948E-02
   1.427193E+01   3.586200E+00   8.430181E-02
   1.168070E+01   3.586300E+00   8.865412E-02
   9.677911E+00   3.586400E+00   8.947697E-02
   9.901001E+00   3.586500E+00   8.619197E-02
   1.069099E+01   3.586600E+00   8.709853E-02
   1.503473E+01   3.586700E+00   8.575489E-02
   1.213014E+01   3.586800E+00   8.707967E-02
   1.610874E+01   3.586900E+00   7.941549E-02
   1.596603E+01   3.587000E+00   7.541493E-02
   2.240152E+01   3.587100E+00   7.236317E-02
   1.843720E+01   3.587200E+00   7.673606E-02
   1.401483E+01   3.587300E+00   8.170992E-02
   1.353302E+01   3.587400E+00   8.197267E-02
   9.378576E+00   3.587500E+00   8.320621E-02
   1.104334E+01   3.587600E+00   7.857140E-02
   1.336938E+01   3.587700E+00   7.789955E-02
   1.006658E+01   3.587800E+00   8.000656E-02
   4.427477E+00   3.587900E+00   8.876263E-02
